Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
1990900981,05/02/1990,08/03/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20141142,08/20/2014,10/10/2014,2014,Residential Muti Tenant Dwelling,
18858,04/06/2007,01/02/2013,2007,Industrial/commercial  construction/repair/demolit,
6132,07/25/1996,08/12/1996,1996,Project   Community Noise Survey,
7011,03/25/1997,10/14/1997,1997,Residential House/yard,
12873,04/30/2003,05/05/2003,2003,Industrial/commercial  construction/repair/demolit,
1992921107,03/17/1992,04/20/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
20192296,08/26/2019,08/26/2019,2019,Industrial/commercial  construction/repair/demolit,
12713,04/18/2003,04/21/2003,2003,Information Request,
24670,04/18/2011,07/07/2011,2011,Industrial/commercial  construction/repair/demolit,
20151721,05/29/2015,06/02/2015,2015,Industrial/commercial  construction/repair/demolit,
5832,05/14/1996,08/01/1996,1996,Residential   Mechanical,
5467,07/12/1996,11/18/1996,1996,Industrial/commercial   Electrical Amp Equip,
5656,04/10/1996,06/27/1996,1996,Residential   Motor Vehicle Noise,
21267,02/02/2009,02/17/2009,2009,Residential   Mechanical,
14945,07/09/2004,11/30/2004,2004,Residential   Mechanical,
20152377,10/28/2015,11/02/2015,2015,Industrial/commercial  construction/repair/demolit,
12781,05/08/2003,06/20/2003,2003,Residential   Mechanical,
25063,06/07/2011,08/08/2011,2011,Industrial/commercial   Electrical Amp Equip,
5705,04/22/1996,06/03/1996,1996,Industrial/commercial   Equipment Noise,
17347,03/03/2006,03/27/2006,2006,Industrial/commercial  construction/repair/demolit,
7090,04/10/1997,04/25/1997,1997,Residential House/yard,
1989900362,10/17/1989,01/29/1990,1989,Residential Muti Tenant Dwelling,
20192085,07/10/2019,07/10/2019,2019,Residential Muti Tenant Dwelling,
1991911306,05/13/1991,06/19/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1992921013,02/24/1992,06/25/1992,1992,Residential Muti Tenant Dwelling,
20583,07/08/2008,07/30/2008,2008,Industrial/commercial   Electrical Amp Equip,
22361,09/10/2009,10/02/2009,2009,Residential   Mechanical,
10466,10/31/1998,11/03/1998,1998,Industrial/commercial  construction/repair/demolit,
1991911360,05/28/1991,06/12/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
6868,02/24/1997,03/04/1997,1997,Residential House/yard,
12897,05/19/2003,05/28/2003,2003,Residential   Motor Vehicle Noise,
1990910270,09/13/1990,10/10/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
7401,06/12/1997,06/27/1997,1997,Residential House/yard,
22225,08/17/2009,10/29/2009,2009,Waiver Request,
1990910247,09/06/1990,09/13/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
4459,05/16/1995,03/28/1996,1995,Industrial/commercial   Equipment Noise,
17281,02/14/2006,02/23/2006,2006,Residential   Construction/repair/demolition,
4597,06/28/1995,07/27/1995,1995,Residential House/yard,
16480,06/30/2005,06/30/2005,2005,Information Request,
1992921470,06/15/1992,07/29/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1989900429,11/16/1989,11/22/1989,1989,Waiver Request,
6913,03/07/1997,04/22/1997,1997,Residential House/yard,
3801,06/26/1995,07/05/1995,1995,Industrial/commercial   Electrical Amp Equip,
6214,08/01/1996,08/29/1996,1996,Industrial/commercial   heat Pump/ac Noise,
1991911145,04/25/1991,05/22/1991,1991,Residential Muti Tenant Dwelling,
5750,04/30/1996,07/31/1996,1996,Industrial/commercial   Equipment Noise,
26928,08/24/2012,09/25/2012,2012,Residential Muti Tenant Dwelling,
14654,05/13/2004,06/08/2005,2004,Industrial/commercial   Equipment Noise,
20131499,12/16/2013,01/15/2014,2013,Residential   El  Amplification Equip,
22873,01/20/2010,02/17/2010,2010,Residential   Construction/repair/demolition,
1989900001,07/05/1989,07/24/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
1991920521,10/14/1991,10/29/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
21137,12/17/2008,01/12/2009,2008,Residential   Mechanical,
1990901037,05/11/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
4538,06/06/1995,06/08/1995,1995,Residential House/yard,
5154,10/31/1995,12/13/1995,1995,Industrial/commercial  construction/repair/demolit,
17222,01/26/2006,03/28/2006,2006,Industrial/commercial   Equipment Noise,
2763,11/29/2001,12/17/2001,2001,Residential   El  Amplification Equip,
5488,07/16/1996,07/31/1996,1996,Residential   Motor Vehicle Noise,
1991911074,04/08/1991,05/13/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4495,05/23/1995,02/08/1996,1995,Industrial/commercial   Equipment Noise,
1990901054,05/18/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20161214,03/09/2016,05/17/2016,2016,Industrial/commercial   Equipment Noise,
1989900210,08/30/1989,09/20/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
20161573,06/03/2016,06/20/2016,2016,Industrial/commercial   Equipment Noise,
23092,03/25/2010,07/22/2010,2010,Residential   Mechanical,
1991920278,08/27/1991,09/05/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4644,08/22/1995,01/09/1996,1995,Industrial/commercial   Electrical Amp Equip,
5296,01/19/1996,05/07/1996,1996,Residential   Mechanical,
2013147,01/28/2013,03/18/2013,2013,Residential   El  Amplification Equip,
21814,06/02/2009,08/12/2009,2009,Industrial/commercial   Electrical Amp Equip,
6083,07/24/1996,09/11/1996,1996,Industrial/commercial  construction/repair/demolit,
6604,12/03/1996,02/14/1997,1996,Residential House/yard,
4122,01/26/1995,02/16/1995,1995,Residential House/yard,
13528,10/01/2003,01/21/2004,2003,Industrial/commercial   Equipment Noise,
9026,09/07/1999,10/11/1999,1999,Industrial/commercial   Equipment Noise,
7229,05/05/1997,05/16/1997,1997,Industrial/commercial   Equipment Noise,
6976,03/17/1997,04/16/1997,1997,Residential   Construction/repair/demolition,
4793,08/14/1995,09/11/1995,1995,Industrial/commercial   Equipment Noise,
6453,10/23/1996,02/07/1997,1996,Residential House/yard,
